video,frames_checked,frames_with_faces,total_faces,face_detection_rate,status,label
000.mp4,5,5,6,1.0,success,original
001.mp4,5,5,9,1.0,success,original
002.mp4,5,5,6,1.0,success,original
003.mp4,5,5,6,1.0,success,original
004.mp4,5,5,11,1.0,success,original
005.mp4,5,5,6,1.0,success,original
006.mp4,5,5,6,1.0,success,original
007.mp4,5,4,4,0.8,success,original
008.mp4,5,5,5,1.0,success,original
009.mp4,5,5,5,1.0,success,original
010.mp4,5,5,13,1.0,success,original
011.mp4,5,5,20,1.0,success,original
012.mp4,5,5,5,1.0,success,original
013.mp4,5,5,5,1.0,success,original
014.mp4,5,5,7,1.0,success,original
015.mp4,5,5,10,1.0,success,original
016.mp4,5,5,5,1.0,success,original
017.mp4,5,5,5,1.0,success,original
018.mp4,5,5,5,1.0,success,original
019.mp4,5,5,5,1.0,success,original
000_003.mp4,5,5,6,1.0,success,deepfake
001_870.mp4,5,5,9,1.0,success,deepfake
002_006.mp4,5,5,8,1.0,success,deepfake
003_000.mp4,5,5,6,1.0,success,deepfake
004_982.mp4,5,5,12,1.0,success,deepfake
005_010.mp4,5,5,5,1.0,success,deepfake
006_002.mp4,5,5,6,1.0,success,deepfake
007_132.mp4,5,5,5,1.0,success,deepfake
008_990.mp4,5,5,5,1.0,success,deepfake
009_027.mp4,5,5,5,1.0,success,deepfake
010_005.mp4,5,5,13,1.0,success,deepfake
011_805.mp4,5,5,18,1.0,success,deepfake
012_026.mp4,5,5,5,1.0,success,deepfake
013_883.mp4,5,5,5,1.0,success,deepfake
014_790.mp4,5,5,7,1.0,success,deepfake
015_919.mp4,5,5,10,1.0,success,deepfake
016_209.mp4,5,5,5,1.0,success,deepfake
017_803.mp4,5,5,5,1.0,success,deepfake
018_019.mp4,5,5,5,1.0,success,deepfake
019_018.mp4,5,5,5,1.0,success,deepfake
